Infinitive,обучи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обучи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обу́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обучи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обучи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обучу́
2nd Sing,обу́чишь
3rd Sing,обу́чит
1st Pl,обу́чим
2nd Pl,обу́чите
3rd Pl,обу́чат
Past M,обучи́л
Past F,обучи́ла
Past N,обучи́ло
Past PL,обучи́ли
Imp S,обучи́
Imp PL,обучи́те
