Infinitive,обрусе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обрусе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обрусе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обрусе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обрусе́ю
2nd Sing,обрусе́ешь
3rd Sing,обрусе́ет
1st Pl,обрусе́ем
2nd Pl,обрусе́ете
3rd Pl,обрусе́ют
Past M,обрусе́л
Past F,обрусе́ла
Past N,обрусе́ло
Past PL,обрусе́ли
Imp S,обрусе́й
Imp PL,обрусе́йте
