Infinitive,обма́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обма́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обма́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обма́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обма́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обма́жу
2nd Sing,обма́жешь
3rd Sing,обма́жет
1st Pl,обма́жем
2nd Pl,обма́жете
3rd Pl,обма́жут
Past M,обма́зал
Past F,обма́зала
Past N,обма́зало
Past PL,обма́зали
Imp S,обма́жь
Imp PL,обма́жьте
