Infinitive,обслужи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обслужи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обслу́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обслужи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обслужи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обслужу́
2nd Sing,обслу́жишь
3rd Sing,обслу́жит
1st Pl,обслу́жим
2nd Pl,обслу́жите
3rd Pl,обслу́жат
Past M,обслужи́л
Past F,обслужи́ла
Past N,обслужи́ло
Past PL,обслужи́ли
Imp S,обслужи́
Imp PL,обслужи́те
