Infinitive,обогаща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обогаща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обогаща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обогаща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обогаща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обогаща́юсь
2nd Sing,обогаща́ешься
3rd Sing,обогаща́ется
1st Pl,обогаща́емся
2nd Pl,обогаща́етесь
3rd Pl,обогаща́ются
Past M,обогаща́лся
Past F,обогаща́лась
Past N,обогаща́лось
Past PL,обогаща́лись
Imp S,обогаща́йся
Imp PL,обогаща́йтесь
