Infinitive,оби́деть
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оби́девший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оби́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оби́дев
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оби́девши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оби́жу
2nd Sing,оби́дишь
3rd Sing,оби́дит
1st Pl,оби́дим
2nd Pl,оби́дите
3rd Pl,оби́дят
Past M,оби́дел
Past F,оби́дела
Past N,оби́дело
Past PL,оби́дели
Imp S,оби́дь
Imp PL,оби́дьте
