Infinitive,обольсти́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обольсти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обольщённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обольсти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обольсти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обольщу́
2nd Sing,обольсти́шь
3rd Sing,обольсти́т
1st Pl,обольсти́м
2nd Pl,обольсти́те
3rd Pl,обольстя́т
Past M,обольсти́л
Past F,обольсти́ла
Past N,обольсти́ло
Past PL,обольсти́ли
Imp S,обольсти́
Imp PL,обольсти́те
