Infinitive,оби́деться
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оби́девшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оби́девшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оби́жусь
2nd Sing,оби́дишься
3rd Sing,оби́дится
1st Pl,оби́димся
2nd Pl,оби́дитесь
3rd Pl,оби́дятся
Past M,оби́делся
Past F,оби́делась
Past N,оби́делось
Past PL,оби́делись
Imp S,оби́дься
Imp PL,оби́дьтесь
