Infinitive,оберну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оберну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обёрнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оберну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оберну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оберну́
2nd Sing,обернёшь
3rd Sing,обернёт
1st Pl,обернём
2nd Pl,обернёте
3rd Pl,оберну́т
Past M,оберну́л
Past F,оберну́ла
Past N,оберну́ло
Past PL,оберну́ли
Imp S,оберни́
Imp PL,оберни́те
