Infinitive,оберну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оберну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оберну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оберну́сь
2nd Sing,обернёшься
3rd Sing,обернётся
1st Pl,обернёмся
2nd Pl,обернётесь
3rd Pl,оберну́тся
Past M,оберну́лся
Past F,оберну́лась
Past N,оберну́лось
Past PL,оберну́лись
Imp S,оберни́сь
Imp PL,оберни́тесь
