Infinitive,обозли́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обозли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обозли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обозлю́сь
2nd Sing,обозли́шься
3rd Sing,обозли́тся
1st Pl,обозли́мся
2nd Pl,обозли́тесь
3rd Pl,обозля́тся
Past M,обозли́лся
Past F,обозли́лась
Past N,обозли́лось
Past PL,обозли́лись
Imp S,обозли́сь
Imp PL,обозли́тесь
