Infinitive,объясни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,объясни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,объяснённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,объясни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,объясни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,объясню́
2nd Sing,объясни́шь
3rd Sing,объясни́т
1st Pl,объясни́м
2nd Pl,объясни́те
3rd Pl,объясня́т
Past M,объясни́л
Past F,объясни́ла
Past N,объясни́ло
Past PL,объясни́ли
Imp S,объясни́
Imp PL,объясни́те
