Infinitive,обостри́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обостри́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обостри́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обострю́сь
2nd Sing,обостри́шься
3rd Sing,обостри́тся
1st Pl,обостри́мся
2nd Pl,обостри́тесь
3rd Pl,обостря́тся
Past M,обостри́лся
Past F,обостри́лась
Past N,обостри́лось
Past PL,обостри́лись
Imp S,обостри́сь
Imp PL,обостри́тесь
