Infinitive,обходи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обходя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обходи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обходя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обходи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обхожу́сь
2nd Sing,обхо́дишься
3rd Sing,обхо́дится
1st Pl,обхо́димся
2nd Pl,обхо́дитесь
3rd Pl,обхо́дятся
Past M,обходи́лся
Past F,обходи́лась
Past N,обходи́лось
Past PL,обходи́лись
Imp S,обходи́сь
Imp PL,обходи́тесь
