Infinitive,обоснова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обоснова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обосно́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обоснова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обоснова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обосну́ю
2nd Sing,обосну́ешь
3rd Sing,обосну́ет
1st Pl,обосну́ем
2nd Pl,обосну́ете
3rd Pl,обосну́ют
Past M,обоснова́л
Past F,обоснова́ла
Past N,обоснова́ло
Past PL,обоснова́ли
Imp S,обосну́й
Imp PL,обосну́йте
