Infinitive,обанкро́титься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обанкро́тившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обанкро́тившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обанкро́чусь
2nd Sing,обанкро́тишься
3rd Sing,обанкро́тится
1st Pl,обанкро́тимся
2nd Pl,обанкро́титесь
3rd Pl,обанкро́тятся
Past M,обанкро́тился
Past F,обанкро́тилась
Past N,обанкро́тилось
Past PL,обанкро́тились
Imp S,обанкро́ться
Imp PL,обанкро́тьтесь
