Infinitive,облупи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,облупи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,облупи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,облуплю́сь
2nd Sing,облу́пишься
3rd Sing,облу́пится
1st Pl,облу́пимся
2nd Pl,облу́питесь
3rd Pl,облу́пятся
Past M,облупи́лся
Past F,облупи́лась
Past N,облупи́лось
Past PL,облупи́лись
Imp S,облупи́сь
Imp PL,облупи́тесь
