Infinitive,обежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обегу́
2nd Sing,обежи́шь
3rd Sing,обежи́т
1st Pl,обежи́м
2nd Pl,обежи́те
3rd Pl,обегу́т
Past M,обежа́л
Past F,обежа́ла
Past N,обежа́ло
Past PL,обежа́ли
Imp S,обеги́
Imp PL,обеги́те
