Infinitive,обраща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обраща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обраща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обраща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обраща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обраща́юсь
2nd Sing,обраща́ешься
3rd Sing,обраща́ется
1st Pl,обраща́емся
2nd Pl,обраща́етесь
3rd Pl,обраща́ются
Past M,обраща́лся
Past F,обраща́лась
Past N,обраща́лось
Past PL,обраща́лись
Imp S,обраща́йся
Imp PL,обраща́йтесь
