Infinitive,обже́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обжёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обожжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обжёгши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обожгу́
2nd Sing,обожжёшь
3rd Sing,обожжёт
1st Pl,обожжём
2nd Pl,обожжёте
3rd Pl,обожгу́т
Past M,обжёг
Past F,обожгла́
Past N,обожгло́
Past PL,обожгли́
Imp S,обожги́
Imp PL,обожги́те
