Infinitive,обви́снуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обви́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обви́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обви́сну
2nd Sing,обви́снешь
3rd Sing,обви́снет
1st Pl,обви́снем
2nd Pl,обви́снете
3rd Pl,обви́снут
Past M,обви́с
Past F,обви́сла
Past N,обви́сло
Past PL,обви́сли
Imp S,обви́сни
Imp PL,обви́сните
