Infinitive,обостря́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обостря́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обостря́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обостря́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обостря́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обостря́юсь
2nd Sing,обостря́ешься
3rd Sing,обостря́ется
1st Pl,обостря́емся
2nd Pl,обостря́етесь
3rd Pl,обостря́ются
Past M,обостря́лся
Past F,обостря́лась
Past N,обостря́лось
Past PL,обостря́лись
Imp S,обостря́йся
Imp PL,обостря́йтесь
