Infinitive,обесси́леть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обесси́левший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обесси́лев
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обесси́левши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обесси́лею
2nd Sing,обесси́леешь
3rd Sing,обесси́леет
1st Pl,обесси́леем
2nd Pl,обесси́леете
3rd Pl,обесси́леют
Past M,обесси́лел
Past F,обесси́лела
Past N,обесси́лело
Past PL,обесси́лели
Imp S,обесси́лей
Imp PL,обесси́лейте
