Infinitive,обнажа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обнажа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обнажа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обнажа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обнажа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обнажа́юсь
2nd Sing,обнажа́ешься
3rd Sing,обнажа́ется
1st Pl,обнажа́емся
2nd Pl,обнажа́етесь
3rd Pl,обнажа́ются
Past M,обнажа́лся
Past F,обнажа́лась
Past N,обнажа́лось
Past PL,обнажа́лись
Imp S,обнажа́йся
Imp PL,обнажа́йтесь
