Infinitive,обмира́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обмира́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обмира́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обмира́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обмира́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,обмира́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,обмира́ю
2nd Sing,обмира́ешь
3rd Sing,обмира́ет
1st Pl,обмира́ем
2nd Pl,обмира́ете
3rd Pl,обмира́ют
Past M,обмира́л
Past F,обмира́ла
Past N,обмира́ло
Past PL,обмира́ли
Imp S,обмира́й
Imp PL,обмира́йте
