Infinitive,обгоре́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обгоре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обгоре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обгоре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обгорю́
2nd Sing,обгори́шь
3rd Sing,обгори́т
1st Pl,обгори́м
2nd Pl,обгори́те
3rd Pl,обгоря́т
Past M,обгоре́л
Past F,обгоре́ла
Past N,обгоре́ло
Past PL,обгоре́ли
Imp S,обгори́
Imp PL,обгори́те
