Infinitive,обрыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обрыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обрыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обрыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обрыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обрыва́юсь
2nd Sing,обрыва́ешься
3rd Sing,обрыва́ется
1st Pl,обрыва́емся
2nd Pl,обрыва́етесь
3rd Pl,обрыва́ются
Past M,обрыва́лся
Past F,обрыва́лась
Past N,обрыва́лось
Past PL,обрыва́лись
Imp S,обрыва́йся
Imp PL,обрыва́йтесь
