Infinitive,объясня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,объясня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,объясня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,объясня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,объясня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,объясня́юсь
2nd Sing,объясня́ешься
3rd Sing,объясня́ется
1st Pl,объясня́емся
2nd Pl,объясня́етесь
3rd Pl,объясня́ются
Past M,объясня́лся
Past F,объясня́лась
Past N,объясня́лось
Past PL,объясня́лись
Imp S,объясня́йся
Imp PL,объясня́йтесь
