Infinitive,объедини́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,объедини́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,объединённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,объедини́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,объедини́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,объединю́
2nd Sing,объедини́шь
3rd Sing,объедини́т
1st Pl,объедини́м
2nd Pl,объедини́те
3rd Pl,объединя́т
Past M,объедини́л
Past F,объедини́ла
Past N,объедини́ло
Past PL,объедини́ли
Imp S,объедини́
Imp PL,объедини́те
