Infinitive,обознача́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обознача́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обознача́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обознача́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обознача́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обознача́юсь
2nd Sing,обознача́ешься
3rd Sing,обознача́ется
1st Pl,обознача́емся
2nd Pl,обознача́етесь
3rd Pl,обознача́ются
Past M,обознача́лся
Past F,обознача́лась
Past N,обознача́лось
Past PL,обознача́лись
Imp S,обознача́йся
Imp PL,обознача́йтесь
