Infinitive,объе́сться
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,объе́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,объе́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,объе́мся
2nd Sing,объе́шься
3rd Sing,объе́стся
1st Pl,объеди́мся
2nd Pl,объеди́тесь
3rd Pl,объедя́тся
Past M,объе́лся
Past F,объе́лась
Past N,объе́лось
Past PL,объе́лись
Imp S,объе́шься
Imp PL,объе́шьтесь
