Infinitive,обуча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обуча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обуча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обуча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обуча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обуча́юсь
2nd Sing,обуча́ешься
3rd Sing,обуча́ется
1st Pl,обуча́емся
2nd Pl,обуча́етесь
3rd Pl,обуча́ются
Past M,обуча́лся
Past F,обуча́лась
Past N,обуча́лось
Past PL,обуча́лись
Imp S,обуча́йся
Imp PL,обуча́йтесь
