Infinitive,обда́ть
Zaliznyak Class,irreg-b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,о́бданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обда́м
2nd Sing,обда́шь
3rd Sing,обда́ст
1st Pl,обдади́м
2nd Pl,обдади́те
3rd Pl,обдаду́т
Past M,о́бдал
Past F,обдала́
Past N,о́бдало
Past PL,о́бдали
Imp S,обда́й
Imp PL,обда́йте
