Infinitive,обраста́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обраста́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обраста́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обраста́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обраста́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,обраста́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,обраста́ю
2nd Sing,обраста́ешь
3rd Sing,обраста́ет
1st Pl,обраста́ем
2nd Pl,обраста́ете
3rd Pl,обраста́ют
Past M,обраста́л
Past F,обраста́ла
Past N,обраста́ло
Past PL,обраста́ли
Imp S,обраста́й
Imp PL,обраста́йте
