Infinitive,обменя́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обменя́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обменя́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обменя́юсь
2nd Sing,обменя́ешься
3rd Sing,обменя́ется
1st Pl,обменя́емся
2nd Pl,обменя́етесь
3rd Pl,обменя́ются
Past M,обменя́лся
Past F,обменя́лась
Past N,обменя́лось
Past PL,обменя́лись
Imp S,обменя́йся
Imp PL,обменя́йтесь
