Infinitive,обедне́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обедне́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обедне́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обедне́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обедне́ю
2nd Sing,обедне́ешь
3rd Sing,обедне́ет
1st Pl,обедне́ем
2nd Pl,обедне́ете
3rd Pl,обедне́ют
Past M,обедне́л
Past F,обедне́ла
Past N,обедне́ло
Past PL,обедне́ли
Imp S,обедне́й
Imp PL,обедне́йте
