Infinitive,обнища́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обнища́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обнища́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обнища́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обнища́ю
2nd Sing,обнища́ешь
3rd Sing,обнища́ет
1st Pl,обнища́ем
2nd Pl,обнища́ете
3rd Pl,обнища́ют
Past M,обнища́л
Past F,обнища́ла
Past N,обнища́ло
Past PL,обнища́ли
Imp S,обнища́й
Imp PL,обнища́йте
