Infinitive,обша́рпать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обша́рпавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обша́рпанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обша́рпав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обша́рпавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обша́рпаю
2nd Sing,обша́рпаешь
3rd Sing,обша́рпает
1st Pl,обша́рпаем
2nd Pl,обша́рпаете
3rd Pl,обша́рпают
Past M,обша́рпал
Past F,обша́рпала
Past N,обша́рпало
Past PL,обша́рпали
Imp S,обша́рпай
Imp PL,обша́рпайте
