Infinitive,обзва́нивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обзва́нивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обзва́нивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обзва́ниваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обзва́нивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,обзва́нивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,обзва́нивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,обзва́ниваю
2nd Sing,обзва́ниваешь
3rd Sing,обзва́нивает
1st Pl,обзва́ниваем
2nd Pl,обзва́ниваете
3rd Pl,обзва́нивают
Past M,обзва́нивал
Past F,обзва́нивала
Past N,обзва́нивало
Past PL,обзва́нивали
Imp S,обзва́нивай
Imp PL,обзва́нивайте
