Infinitive,обезору́жить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обезору́живший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обезору́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обезору́жив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обезору́живши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обезору́жу
2nd Sing,обезору́жишь
3rd Sing,обезору́жит
1st Pl,обезору́жим
2nd Pl,обезору́жите
3rd Pl,обезору́жат
Past M,обезору́жил
Past F,обезору́жила
Past N,обезору́жило
Past PL,обезору́жили
Imp S,обезору́жь
Imp PL,обезору́жьте
