Infinitive,обнагле́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обнагле́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обнагле́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обнагле́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обнагле́ю
2nd Sing,обнагле́ешь
3rd Sing,обнагле́ет
1st Pl,обнагле́ем
2nd Pl,обнагле́ете
3rd Pl,обнагле́ют
Past M,обнагле́л
Past F,обнагле́ла
Past N,обнагле́ло
Past PL,обнагле́ли
Imp S,обнагле́й
Imp PL,обнагле́йте
