Infinitive,объединя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,объединя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,объединя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,объединя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,объединя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,объединя́юсь
2nd Sing,объединя́ешься
3rd Sing,объединя́ется
1st Pl,объединя́емся
2nd Pl,объединя́етесь
3rd Pl,объединя́ются
Past M,объединя́лся
Past F,объединя́лась
Past N,объединя́лось
Past PL,объединя́лись
Imp S,объединя́йся
Imp PL,объединя́йтесь
