Infinitive,обалде́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обалде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обалде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обалде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обалде́ю
2nd Sing,обалде́ешь
3rd Sing,обалде́ет
1st Pl,обалде́ем
2nd Pl,обалде́ете
3rd Pl,обалде́ют
Past M,обалде́л
Past F,обалде́ла
Past N,обалде́ло
Past PL,обалде́ли
Imp S,обалде́й
Imp PL,обалде́йте
