Infinitive,обнови́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обнови́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обновлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обнови́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обнови́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обновлю́
2nd Sing,обнови́шь
3rd Sing,обнови́т
1st Pl,обнови́м
2nd Pl,обнови́те
3rd Pl,обновя́т
Past M,обнови́л
Past F,обнови́ла
Past N,обнови́ло
Past PL,обнови́ли
Imp S,обнови́
Imp PL,обнови́те
