Infinitive,обморо́зить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обморо́зивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обморо́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обморо́зив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обморо́зивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обморо́жу
2nd Sing,обморо́зишь
3rd Sing,обморо́зит
1st Pl,обморо́зим
2nd Pl,обморо́зите
3rd Pl,обморо́зят
Past M,обморо́зил
Past F,обморо́зила
Past N,обморо́зило
Past PL,обморо́зили
Imp S,обморо́зь
Imp PL,обморо́зьте
