Infinitive,обру́шить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обру́шивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обру́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обру́шив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обру́шивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обру́шу
2nd Sing,обру́шишь
3rd Sing,обру́шит
1st Pl,обру́шим
2nd Pl,обру́шите
3rd Pl,обру́шат
Past M,обру́шил
Past F,обру́шила
Past N,обру́шило
Past PL,обру́шили
Imp S,обру́шь
Imp PL,обру́шьте
