Infinitive,обстреля́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обстреля́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обстре́лянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обстреля́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обстреля́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обстреля́ю
2nd Sing,обстреля́ешь
3rd Sing,обстреля́ет
1st Pl,обстреля́ем
2nd Pl,обстреля́ете
3rd Pl,обстреля́ют
Past M,обстреля́л
Past F,обстреля́ла
Past N,обстреля́ло
Past PL,обстреля́ли
Imp S,обстреля́й
Imp PL,обстреля́йте
