Infinitive,облюбова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,облюбова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,облюбо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,облюбова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,облюбова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,облюбу́ю
2nd Sing,облюбу́ешь
3rd Sing,облюбу́ет
1st Pl,облюбу́ем
2nd Pl,облюбу́ете
3rd Pl,облюбу́ют
Past M,облюбова́л
Past F,облюбова́ла
Past N,облюбова́ло
Past PL,облюбова́ли
Imp S,облюбу́й
Imp PL,облюбу́йте
