Infinitive,обуя́ть
Zaliznyak Class,1a⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обуя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обуя́нный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обуя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обуя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обуя́ю
2nd Sing,обуя́ешь
3rd Sing,обуя́ет
1st Pl,обуя́ем
2nd Pl,обуя́ете
3rd Pl,обуя́ют
Past M,обуя́л
Past F,обуя́ла
Past N,обуя́ло
Past PL,обуя́ли
Imp S,обуя́й
Imp PL,обуя́йте
