Infinitive,обмя́кнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обмя́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обмя́кши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обмя́кну
2nd Sing,обмя́кнешь
3rd Sing,обмя́кнет
1st Pl,обмя́кнем
2nd Pl,обмя́кнете
3rd Pl,обмя́кнут
Past M,обмя́к
Past F,обмя́кла
Past N,обмя́кло
Past PL,обмя́кли
Imp S,обмя́кни
Imp PL,обмя́кните
