Infinitive,объяви́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,объяви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,объя́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,объяви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,объяви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,объявлю́
2nd Sing,объя́вишь
3rd Sing,объя́вит
1st Pl,объя́вим
2nd Pl,объя́вите
3rd Pl,объя́вят
Past M,объяви́л
Past F,объяви́ла
Past N,объяви́ло
Past PL,объяви́ли
Imp S,объяви́
Imp PL,объяви́те
