Infinitive,обруби́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обруби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обру́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обруби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обруби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обрублю́
2nd Sing,обру́бишь
3rd Sing,обру́бит
1st Pl,обру́бим
2nd Pl,обру́бите
3rd Pl,обру́бят
Past M,обруби́л
Past F,обруби́ла
Past N,обруби́ло
Past PL,обруби́ли
Imp S,обруби́
Imp PL,обруби́те
