Infinitive,обогати́ться
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обогати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обогати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обогащу́сь
2nd Sing,обогати́шься
3rd Sing,обогати́тся
1st Pl,обогати́мся
2nd Pl,обогати́тесь
3rd Pl,обогатя́тся
Past M,обогати́лся
Past F,обогати́лась
Past N,обогати́лось
Past PL,обогати́лись
Imp S,обогати́сь
Imp PL,обогати́тесь
