Infinitive,обша́ривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обша́ривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обша́ривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обша́риваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обша́ривая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,обша́ривав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,обша́ривавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,обша́риваю
2nd Sing,обша́риваешь
3rd Sing,обша́ривает
1st Pl,обша́риваем
2nd Pl,обша́риваете
3rd Pl,обша́ривают
Past M,обша́ривал
Past F,обша́ривала
Past N,обша́ривало
Past PL,обша́ривали
Imp S,обша́ривай
Imp PL,обша́ривайте
