Infinitive,оброни́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оброни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обро́ненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оброни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оброни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оброню́
2nd Sing,обро́нишь
3rd Sing,обро́нит
1st Pl,обро́ним
2nd Pl,обро́ните
3rd Pl,обро́нят
Past M,оброни́л
Past F,оброни́ла
Past N,оброни́ло
Past PL,оброни́ли
Imp S,оброни́
Imp PL,оброни́те
