Infinitive,обозли́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обозли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обозлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обозли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обозли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обозлю́
2nd Sing,обозли́шь
3rd Sing,обозли́т
1st Pl,обозли́м
2nd Pl,обозли́те
3rd Pl,обозля́т
Past M,обозли́л
Past F,обозли́ла
Past N,обозли́ло
Past PL,обозли́ли
Imp S,обозли́
Imp PL,обозли́те
