Infinitive,обзавести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обзаве́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обзаведя́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обзаве́дшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обзаведу́сь
2nd Sing,обзаведёшься
3rd Sing,обзаведётся
1st Pl,обзаведёмся
2nd Pl,обзаведётесь
3rd Pl,обзаведу́тся
Past M,обзавёлся
Past F,обзавела́сь
Past N,обзавело́сь
Past PL,обзавели́сь
Imp S,обзаведи́сь
Imp PL,обзаведи́тесь
