Infinitive,обговори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обговори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обговорённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обговори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обговори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обговорю́
2nd Sing,обговори́шь
3rd Sing,обговори́т
1st Pl,обговори́м
2nd Pl,обговори́те
3rd Pl,обговоря́т
Past M,обговори́л
Past F,обговори́ла
Past N,обговори́ло
Past PL,обговори́ли
Imp S,обговори́
Imp PL,обговори́те
