Infinitive,обсуди́ть
Zaliznyak Class,4c⑦(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обсуди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обсуждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обсуди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обсуди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обсужу́
2nd Sing,обсу́дишь
3rd Sing,обсу́дит
1st Pl,обсу́дим
2nd Pl,обсу́дите
3rd Pl,обсу́дят
Past M,обсуди́л
Past F,обсуди́ла
Past N,обсуди́ло
Past PL,обсуди́ли
Imp S,обсуди́
Imp PL,обсуди́те
