Infinitive,обогре́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обогре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обогре́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обогре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обогре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обогре́ю
2nd Sing,обогре́ешь
3rd Sing,обогре́ет
1st Pl,обогре́ем
2nd Pl,обогре́ете
3rd Pl,обогре́ют
Past M,обогре́л
Past F,обогре́ла
Past N,обогре́ло
Past PL,обогре́ли
Imp S,обогре́й
Imp PL,обогре́йте
