Infinitive,оборва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оборва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обо́рванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оборва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оборва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оборву́
2nd Sing,оборвёшь
3rd Sing,оборвёт
1st Pl,оборвём
2nd Pl,оборвёте
3rd Pl,оборву́т
Past M,оборва́л
Past F,оборвала́
Past N,оборва́ло
Past PL,оборва́ли
Imp S,оборви́
Imp PL,оборви́те
