Infinitive,обрати́ться
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обрати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обрати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обращу́сь
2nd Sing,обрати́шься
3rd Sing,обрати́тся
1st Pl,обрати́мся
2nd Pl,обрати́тесь
3rd Pl,обратя́тся
Past M,обрати́лся
Past F,обрати́лась
Past N,обрати́лось
Past PL,обрати́лись
Imp S,обрати́сь
Imp PL,обрати́тесь
