Infinitive,обвенча́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обвенча́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обвенча́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обвенча́юсь
2nd Sing,обвенча́ешься
3rd Sing,обвенча́ется
1st Pl,обвенча́емся
2nd Pl,обвенча́етесь
3rd Pl,обвенча́ются
Past M,обвенча́лся
Past F,обвенча́лась
Past N,обвенча́лось
Past PL,обвенча́лись
Imp S,обвенча́йся
Imp PL,обвенча́йтесь
