Infinitive,обня́ться
Zaliznyak Class,14c/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обня́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обня́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обниму́сь
2nd Sing,обни́мешься
3rd Sing,обни́мется
1st Pl,обни́мемся
2nd Pl,обни́метесь
3rd Pl,обни́мутся
Past M,обня́лся
Past F,обняла́сь
Past N,обняло́сь
Past PL,обняли́сь
Imp S,обними́сь
Imp PL,обними́тесь
